Quadratic Probing Collision Count
0
3
0
1
6
5
6
2
8
6
16
12
13
11
13
15
9
9
18
21
16
22
24
25
31
23
32
30
31
17
37
26
27
21
28
37
23
29
50
27
46
43
34
42
49
43
23
28
38
32
37
53
33
32
47
35
55
49
41
42
30
56
51
57
39
34
45
37
35
30
34
44
47
36
43
23
39
24
42
48
42
54
47
54
48
40
51
41
40
36
48
50
54
36
48
23
46
40
24
50
43
50
43
50
45
48
28
39
19
36
39
46
48
41
35
41
32
33
53
27
26
39
51
40
31
34
43
56
49
52
56
43
36
34
53
39
48
52
40
43
29
28
27
41
37
31
28
30
37
28
41
55
29
47
45
34
40
36
55
32
55
38
34
39
41
62
50
62
61
44
43
57
36
54
56
65
69
72
64
79
69
77
70
70
59
90
66
77
77
82
112
86
108
107
74
100
119
133
109
128
124
134
141
107
150
167
142
189
153
176
181
198
178
199
209
193
221
211
261
259
223
277
252
243
346
254
246
386
340
375
365
312
312
348
390
431
441
433
487
662
412
467
506
458
570
571
701
429
703
728
555
483
502
617
657
974
603
887
828
914
888
1065
1095
746
767
863
1036
897
751
943
960
860
1001
1059
910
1303
1162
1017
1017
1260
789
1152
1044
721
973
962
997
929
849
895
777
914
825
858
956
975
884
771
942
848
815
821
1005
866
789
1057
1092
824
702
632
925
861
892
930
799
634
559
776
850
937
783
1041
842
804
881
1045
770
965
925
754
986
707
806
883
1288
900
942
914
1089
766
1160
896
857
867
945
1027
709
908
804
705
915
926
758
743
981
840
1103
688
768
773
667
778
730
707
896
860
641
722
751
693
766
701
896
801
953
796
917
966
1137
1050
897
1337
1413
1547
1545
1557
1519
1701
1399
1720
1843
2005
2414
2838
3312
5675
8047
12745
29045
115596
