iteration          avg Insert time(s)          avg Search time(s)     
181                     1.56e-07                         1.38e-07
182                     3.64e-07                         7e-08
183                     1.9e-07                         6.9e-08
184                     2.68e-07                         7e-08
185                     1.28e-07                         6.7e-08
186                     1.91e-07                         6.6e-08
187                     1.97e-07                         6.2e-08
188                     1.66e-07                         6e-08
189                     1.77e-07                         1.19e-07
190                     1.05e-07                         6.6e-08
191                     1.8e-07                         5.4e-08
192                     1.79e-07                         5.5e-08
193                     2.2e-07                         1.09e-07
194                     2.69e-07                         1.17e-07
195                     1.78e-07                         6e-08
196                     1.95e-07                         5.3e-08
197                     1.59e-07                         6.1e-08
198                     1.72e-07                         5.5e-08
199                     1.02e-07                         5.6e-08
200                     1.74e-07                         5.9e-08
201                     1.68e-07                         7.8e-08
202                     2.32e-07                         7.7e-08
203                     1.89e-07                         7.9e-08
204                     1.39e-07                         1.45e-07
205                     2.01e-07                         8.4e-08
206                     2.07e-07                         7.2e-08
207                     2.7e-07                         6.5e-08
208                     1.34e-07                         6.5e-08
209                     4.87e-07                         6.8e-08
210                     2.01e-07                         6.4e-08
211                     1.91e-07                         5.7e-08
212                     1.71e-07                         5.2e-08
213                     1.18e-07                         5.4e-08
214                     2.12e-07                         5.3e-08
215                     1.75e-07                         5.1e-08
216                     1.52e-07                         6.1e-08
217                     1.19e-07                         5.3e-08
218                     1.7e-07                         5.1e-08
219                     1.57e-07                         5.1e-08
220                     1.58e-07                         5e-08
221                     1.6e-07                         5.1e-08
222                     1.01e-07                         5.1e-08
223                     1.47e-07                         7.5e-08
224                     1.37e-07                         4.5e-08
225                     1.53e-07                         4.8e-08
226                     1.63e-07                         5.2e-08
227                     1.14e-07                         5.1e-08
228                     1.73e-07                         5.6e-08
229                     1.99e-07                         5.9e-08
230                     1.84e-07                         5.8e-08
231                     1.35e-07                         6.1e-08
232                     1.96e-07                         6.4e-08
233                     1.9e-07                         6.5e-08
234                     1.87e-07                         6.7e-08
235                     2.15e-07                         6.8e-08
236                     1.57e-07                         6.7e-08
237                     3.12e-07                         6.3e-08
238                     1.73e-07                         6e-08
239                     1.94e-07                         8.7e-08
240                     2.2e-07                         1.03e-07
241                     3.29e-07                         7.1e-08
242                     2.5e-07                         7.8e-08
243                     3.24e-07                         8e-08
244                     2.58e-07                         7.5e-08
245                     2.83e-07                         9.8e-08
246                     2.58e-07                         6.9e-08
247                     3.01e-07                         7.1e-08
248                     2.3e-07                         7.9e-08
249                     1.49e-07                         8.4e-08
250                     2.36e-07                         7.5e-08
251                     5.38e-07                         7.8e-08
252                     2.45e-07                         1.05e-07
253                     2.82e-07                         1.76e-07
254                     1.97e-07                         1.34e-07
255                     3.67e-07                         8.5e-08
256                     3.65e-07                         1.17e-07
257                     2.7e-07                         1.03e-07
258                     3.31e-07                         6.7e-08
259                     1.42e-07                         6.8e-08
260                     2.01e-07                         6.9e-08
261                     2.05e-07                         7.6e-08
262                     1.9e-07                         7.3e-08
263                     1.57e-07                         8.2e-08
264                     3.28e-07                         9.7e-08
265                     2.56e-07                         9.3e-08
266                     2.56e-07                         9.1e-08
267                     2.46e-07                         8.5e-08
268                     2.09e-07                         1.01e-07
269                     2.64e-07                         3.18e-07
270                     2.49e-07                         7.2e-08
271                     2.24e-07                         6.7e-08
272                     1.57e-07                         7.1e-08
273                     1.95e-07                         6.2e-08
274                     2.63e-07                         6.1e-08
275                     1.85e-07                         6.4e-08
276                     1.84e-07                         1.19e-07
277                     1.35e-07                         6.9e-08
