iteration          avg Insert time(s)          avg Search time(s)     
180                     6e-08                         4.6e-08
181                     1.09e-07                         4.9e-08
182                     1.08e-07                         4.6e-08
183                     1.05e-07                         4.8e-08
184                     1.06e-07                         4.7e-08
185                     6e-08                         4.7e-08
186                     1.07e-07                         4.5e-08
187                     1.03e-07                         4.6e-08
188                     1.03e-07                         4.4e-08
189                     6e-08                         4.5e-08
190                     1.06e-07                         4.6e-08
191                     1.03e-07                         4.7e-08
192                     1.05e-07                         4.5e-08
193                     1.04e-07                         4.6e-08
194                     5.9e-08                         4.5e-08
195                     1.07e-07                         4.8e-08
196                     1.07e-07                         4.4e-08
197                     1.04e-07                         4.6e-08
198                     5.9e-08                         4.8e-08
199                     1.04e-07                         4.5e-08
200                     1.04e-07                         4.5e-08
201                     1.04e-07                         4.7e-08
202                     1.03e-07                         4.7e-08
203                     5.9e-08                         4.5e-08
204                     1.05e-07                         4.7e-08
205                     1.03e-07                         4.7e-08
206                     1.03e-07                         4.6e-08
207                     1.04e-07                         4.5e-08
208                     6e-08                         4.6e-08
209                     1.06e-07                         4.4e-08
210                     1.04e-07                         4.5e-08
211                     1.04e-07                         4.6e-08
212                     6e-08                         4.6e-08
213                     1.05e-07                         4.8e-08
214                     1.9e-07                         4.7e-08
215                     1.05e-07                         4.5e-08
216                     1.06e-07                         4.6e-08
217                     6e-08                         4.5e-08
218                     1.04e-07                         4.7e-08
219                     1.04e-07                         4.7e-08
220                     1.13e-07                         4.6e-08
221                     6e-08                         4.5e-08
222                     1.04e-07                         4.6e-08
223                     1.05e-07                         4.7e-08
224                     1.06e-07                         4.6e-08
225                     1.11e-07                         4.6e-08
226                     6.1e-08                         4.5e-08
227                     1.11e-07                         4.6e-08
228                     1.08e-07                         4.6e-08
229                     1.05e-07                         4.5e-08
230                     6e-08                         4.6e-08
231                     1.06e-07                         4.6e-08
232                     1.04e-07                         4.5e-08
233                     1.04e-07                         4.6e-08
234                     1.05e-07                         4.4e-08
235                     6.1e-08                         4.4e-08
236                     1.06e-07                         4.5e-08
237                     1.05e-07                         4.5e-08
238                     1.08e-07                         4.5e-08
