iteration          avg Insert time(s)          avg Search time(s)     
180                     4.6e-08                         2.3e-08
181                     4.6e-08                         2.5e-08
182                     4e-08                         2.3e-08
183                     4.6e-08                         2.4e-08
184                     4e-08                         2.6e-08
185                     4.4e-08                         2.5e-08
186                     4.5e-08                         2.6e-08
187                     4.5e-08                         2.2e-08
188                     4.1e-08                         2.8e-08
189                     5e-08                         2.4e-08
190                     4.9e-08                         2.4e-08
191                     5.3e-08                         2.8e-08
192                     5.6e-08                         2.5e-08
193                     5.1e-08                         2.6e-08
194                     5.2e-08                         2.8e-08
195                     4.9e-08                         2.5e-08
196                     5e-08                         2.7e-08
197                     5.7e-08                         2.7e-08
198                     6.8e-08                         2.9e-08
199                     6e-08                         2.8e-08
200                     5.9e-08                         3.2e-08
201                     5.9e-08                         2.7e-08
202                     5.5e-08                         2.7e-08
203                     6.6e-08                         2.8e-08
204                     6e-08                         2.9e-08
205                     6.9e-08                         2.8e-08
206                     6.4e-08                         2.6e-08
207                     6.1e-08                         2.6e-08
208                     5.7e-08                         3e-08
209                     7.1e-08                         3e-08
210                     5.9e-08                         2.8e-08
211                     6.9e-08                         3.1e-08
212                     6.8e-08                         1.27e-07
213                     8.4e-08                         4.8e-08
214                     6.5e-08                         4e-08
215                     7.4e-08                         2.8e-08
216                     7e-08                         3.5e-08
217                     6.9e-08                         3e-08
218                     6.4e-08                         3.1e-08
219                     7.2e-08                         2.8e-08
220                     6.6e-08                         2.9e-08
221                     7e-08                         3.2e-08
222                     6.8e-08                         3.5e-08
223                     6.3e-08                         3.3e-08
224                     7.4e-08                         3.3e-08
225                     7.6e-08                         2.9e-08
226                     7.2e-08                         3.5e-08
227                     7.4e-08                         3.5e-08
228                     7.8e-08                         3.5e-08
229                     6.8e-08                         3.7e-08
230                     7.3e-08                         3.1e-08
231                     7.8e-08                         3.9e-08
232                     7.1e-08                         3.5e-08
233                     8.7e-08                         3.9e-08
234                     7.2e-08                         3.9e-08
235                     1.35e-07                         7.6e-08
236                     1.09e-07                         6.9e-08
237                     9.6e-08                         4e-08
238                     8.7e-08                         4.2e-08
239                     8e-08                         4.6e-08
240                     8.9e-08                         5.5e-08
241                     7.9e-08                         3.3e-08
242                     9.6e-08                         4.2e-08
243                     8.9e-08                         4.9e-08
244                     8e-08                         4e-08
245                     7.6e-08                         6.3e-08
246                     8.7e-08                         4.9e-08
247                     9.9e-08                         3.4e-08
248                     7.9e-08                         5.1e-08
249                     1.01e-07                         6.6e-08
250                     9.5e-08                         5.2e-08
251                     9.5e-08                         4.9e-08
252                     1.1e-07                         5.2e-08
253                     1.05e-07                         4.1e-08
254                     1.26e-07                         4.5e-08
255                     1.26e-07                         5.9e-08
256                     1.45e-07                         5.3e-08
257                     1.09e-07                         6.3e-08
258                     1.15e-07                         4.3e-08
259                     1.27e-07                         7.1e-08
260                     1.3e-07                         5.9e-08
261                     1.05e-07                         6.1e-08
262                     1.51e-07                         8.5e-08
263                     1.44e-07                         1.21e-07
264                     1.21e-07                         1.3e-07
265                     1.47e-07                         9.1e-08
266                     1.56e-07                         1.24e-07
267                     1.46e-07                         1.09e-07
268                     1.48e-07                         1.22e-07
269                     1.37e-07                         9.9e-08
270                     1.42e-07                         1.33e-07
271                     1.29e-07                         8.2e-08
272                     1.12e-07                         1.63e-07
273                     1.32e-07                         1.36e-07
274                     1.34e-07                         1.32e-07
275                     1.23e-07                         1.14e-07
276                     1.44e-07                         8.4e-08
277                     1.18e-07                         1.04e-07
278                     1.34e-07                         8.5e-08
279                     1.17e-07                         8.7e-08
280                     1.44e-07                         1.35e-07
281                     1.17e-07                         9.9e-08
282                     1.57e-07                         9.5e-08
283                     1.34e-07                         1.5e-07
284                     1.01e-07                         1.1e-07
285                     1.13e-07                         9.2e-08
286                     1.06e-07                         1.13e-07
287                     1.06e-07                         8.7e-08
288                     1.18e-07                         1.68e-07
289                     1.24e-07                         1.07e-07
290                     1.31e-07                         1.56e-07
291                     1.24e-07                         1.49e-07
292                     1.25e-07                         1.2e-07
293                     1.43e-07                         2.57e-07
294                     1.38e-07                         1.47e-07
295                     1.37e-07                         1.8e-07
296                     1.43e-07                         2.65e-07
297                     1.22e-07                         1.41e-07
298                     1.19e-07                         1.41e-07
299                     1.1e-07                         1.67e-07
300                     1.16e-07                         1.64e-07
301                     1.23e-07                         1.31e-07
302                     1.21e-07                         2.12e-07
303                     1.29e-07                         2.28e-07
304                     1.2e-07                         2.08e-07
305                     1.15e-07                         1.04e-07
306                     1.31e-07                         2.35e-07
307                     1.37e-07                         2.34e-07
308                     1.21e-07                         1.59e-07
309                     1e-07                         1.64e-07
310                     1.3e-07                         1.59e-07
311                     1.3e-07                         1.58e-07
312                     1.4e-07                         2.23e-07
313                     1.46e-07                         1.96e-07
314                     1.5e-07                         2.07e-07
315                     1.47e-07                         1.63e-07
316                     2.25e-07                         1.63e-07
317                     1.43e-07                         3.19e-07
318                     1.5e-07                         2.36e-07
319                     1.61e-07                         2.68e-07
320                     1.82e-07                         2.31e-07
321                     1.82e-07                         3.08e-07
322                     1.65e-07                         2.13e-07
323                     1.65e-07                         1.84e-07
324                     1.4e-07                         1.96e-07
325                     1.55e-07                         1.66e-07
326                     2.7e-07                         2.77e-07
327                     1.73e-07                         2.52e-07
328                     1.67e-07                         3.73e-07
329                     1.46e-07                         1.71e-07
330                     1.36e-07                         1.94e-07
331                     1.6e-07                         3.76e-07
332                     1.55e-07                         2.61e-07
333                     1.34e-07                         3.59e-07
334                     1.43e-07                         2.28e-07
335                     1.91e-07                         4.37e-07
336                     1.71e-07                         1.89e-07
337                     1.64e-07                         2.89e-07
338                     2.29e-07                         3.55e-07
339                     1.86e-07                         3.57e-07
340                     1.64e-07                         1.65e-07
341                     2.25e-07                         3.42e-07
342                     2.43e-07                         3.42e-07
343                     2.16e-07                         4.28e-07
344                     1.94e-07                         2.96e-07
345                     2.39e-07                         5.36e-07
346                     1.88e-07                         2.8e-07
347                     1.7e-07                         4.19e-07
348                     1.84e-07                         4.13e-07
349                     1.55e-07                         3.32e-07
350                     1.57e-07                         3.23e-07
351                     1.48e-07                         3.92e-07
352                     1.68e-07                         5.27e-07
353                     1.72e-07                         2.41e-07
354                     2.28e-07                         3.44e-07
355                     1.59e-07                         1.76e-07
356                     1.39e-07                         3.63e-07
357                     1.66e-07                         4.31e-07
358                     1.23e-07                         4.39e-07
359                     1.74e-07                         4.59e-07
360                     1.52e-07                         6.7e-07
361                     1.58e-07                         4.11e-07
362                     1.55e-07                         2.23e-07
363                     1.54e-07                         3.64e-07
364                     2.14e-07                         4.91e-07
365                     2.43e-07                         4.81e-07
366                     1.65e-07                         4.23e-07
367                     1.72e-07                         4e-07
368                     1.75e-07                         3.41e-07
369                     1.68e-07                         5.22e-07
370                     1.35e-07                         8.17e-07
371                     2.31e-07                         4e-07
372                     1.66e-07                         4.96e-07
373                     1.94e-07                         4.56e-07
374                     1.78e-07                         5.39e-07
375                     2.33e-07                         6.72e-07
376                     2.13e-07                         4.79e-07
377                     2.01e-07                         4.78e-07
378                     1.99e-07                         3.61e-07
379                     1.83e-07                         3.44e-07
380                     2.25e-07                         4.73e-07
381                     2.6e-07                         2.41e-07
382                     2.43e-07                         6.01e-07
383                     2.38e-07                         3.91e-07
384                     2.35e-07                         4.52e-07
385                     2.44e-07                         4.58e-07
386                     3.07e-07                         4.75e-07
387                     4.96e-07                         6.83e-07
388                     5.62e-07                         4.01e-07
389                     1.024e-06                         3.39e-07
390                     1.078e-06                         2.62e-07
391                     1.323e-06                         5.33e-07
392                     2.086e-06                         8.54e-07
393                     1.773e-06                         1.124e-06
394                     2.332e-06                         6.57e-07
395                     2.893e-06                         1.162e-06
396                     4.112e-06                         9.58e-07
397                     6.453e-06                         9.13e-07
398                     9.192e-06                         1.978e-06
399                     2.0465e-05                         1.44e-06
400                     3.461e-05                         1.528e-06
